Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
342.72885274887085	0	-134.34145	36.999214	-47.20942	-247.81941	151.0	0.0	30049	30049
678.8792912960052	1	-107.311325	35.39456	-18.799875	-202.0299	151.0	0.0	30049	60098
1012.3915259838104	2	-90.68976	31.300922	-1.463956	-184.89911	151.0	0.0	30049	90147
1345.0050089359283	3	-80.17954	29.674135	12.133625	-173.72794	151.0	0.0	30049	120196
1678.5759482383728	4	-78.22887	29.457388	36.297775	-179.1839	151.0	0.0	30049	150245
2008.8581125736237	5	-76.37541	29.427307	20.305733	-166.24344	151.0	0.0	30049	180294
2337.1076352596283	6	-70.78499	28.40321	5.7105837	-177.09909	151.0	0.0	30049	210343
2667.9858524799347	7	-62.89621	26.054163	2.7074833	-158.64691	151.0	0.0	30049	240392
3002.4903910160065	8	-57.445606	28.166471	1.8911018	-161.96469	151.0	0.0	30049	270441
3330.5346052646637	9	-52.20871	24.713724	-2.8990164	-149.91489	151.0	0.0	30049	300490
3663.7462198734283	10	-49.90046	27.062237	22.328924	-126.119736	151.0	0.0	30049	330539
3993.9091506004333	11	-42.368877	27.221226	26.160118	-139.30444	151.0	0.0	30049	360588
4320.213301181793	12	-39.3653	25.414673	57.63953	-124.858	151.0	0.0	30049	390637
4649.333999156952	13	-43.53217	23.369894	40.641052	-107.08153	151.0	0.0	30049	420686
4976.041729211807	14	-38.39261	25.316294	18.70515	-126.81572	151.0	0.0	30049	450735
5304.263450622559	15	-33.820755	22.78884	15.936916	-120.18092	151.0	0.0	30049	480784
5632.148654222488	16	-30.926512	23.112759	26.795675	-105.96284	151.0	0.0	30049	510833
5960.093700408936	17	-30.87929	24.274237	26.852085	-122.090385	151.0	0.0	30049	540882
6284.184823989868	18	-29.290392	25.468018	40.770905	-138.51842	151.0	0.0	30049	570931
6609.266846895218	19	-27.897608	25.633064	30.21949	-141.74187	151.0	0.0	30049	600980
6931.912490367889	20	-25.647112	21.702993	43.90622	-94.14035	151.0	0.0	30049	631029
7253.6876764297485	21	-24.590958	18.208633	19.773653	-106.27339	151.0	0.0	30049	661078
