Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
565.8563795089722	0	-134.34145	36.999214	-47.20942	-247.81941	151.0	0.0	30049	30049
1122.221638917923	1	-103.991066	34.2634	-20.748255	-190.05695	151.0	0.0	30049	60098
1682.4817996025085	2	-93.0381	31.684895	-7.005043	-198.39731	151.0	0.0	30049	90147
2238.2671658992767	3	-77.49826	31.812433	35.840748	-153.66473	151.0	0.0	30049	120196
2793.810604572296	4	-73.17052	31.994263	15.077848	-168.93103	151.0	0.0	30049	150245
3347.193525791168	5	-69.74666	30.416792	9.284399	-186.5571	151.0	0.0	30049	180294
3903.557954788208	6	-63.461037	26.779272	6.229786	-142.74818	151.0	0.0	30049	210343
4458.833502531052	7	-57.68773	26.647493	26.281025	-126.19507	151.0	0.0	30049	240392
5013.21475481987	8	-54.59688	27.930218	42.28155	-126.272385	151.0	0.0	30049	270441
5567.452924251556	9	-52.174496	28.061392	14.003541	-163.94844	151.0	0.0	30049	300490
6121.742535114288	10	-49.709633	30.59608	23.672369	-143.80237	151.0	0.0	30049	330539
6676.928360700607	11	-46.640987	22.751564	0.6252575	-150.40904	151.0	0.0	30049	360588
7227.338015794754	12	-42.064846	25.560144	15.439638	-138.79727	151.0	0.0	30049	390637
7780.482511997223	13	-42.59363	25.255293	19.633713	-152.00845	151.0	0.0	30049	420686
8331.431388616562	14	-44.587975	23.544617	18.908012	-107.630264	151.0	0.0	30049	450735
8887.040874004364	15	-44.435654	27.120346	21.189655	-147.01598	151.0	0.0	30049	480784
9436.521876811981	16	-38.042244	23.568392	35.839565	-117.18032	151.0	0.0	30049	510833
9990.853106975555	17	-38.57408	26.955534	17.272238	-151.17642	151.0	0.0	30049	540882
10543.367325305939	18	-36.606106	28.291801	48.328068	-161.28831	151.0	0.0	30049	570931
11097.843355417252	19	-33.975555	26.247858	54.741554	-143.82762	151.0	0.0	30049	600980
11643.711338758469	20	-28.704214	25.252634	39.94958	-138.97485	151.0	0.0	30049	631029
12191.163553714752	21	-23.431301	26.793728	49.030807	-141.26324	151.0	0.0	30049	661078
12739.298466682434	22	-19.688278	25.639565	57.81495	-106.71399	151.0	0.0	30049	691127
13285.706681013107	23	-19.038425	26.509123	34.120277	-115.274185	151.0	0.0	30049	721176
13834.596819162369	24	-13.056748	27.103373	63.600704	-94.0233	151.0	0.0	30049	751225
