Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
50.57574677467346	0	-183.61519	40.178196	-94.28711	-312.5869	151.0	0.0	30049	30049
98.06289505958557	1	-141.39876	34.64342	-43.206444	-269.3513	151.0	0.0	30049	60098
145.16615176200867	2	-140.78093	33.90988	-53.017838	-234.63712	151.0	0.0	30049	90147
192.2304630279541	3	-128.52684	36.045048	-40.31926	-227.81847	151.0	0.0	30049	120196
239.54730415344238	4	-115.52895	37.806126	-14.019981	-215.99353	151.0	0.0	30049	150245
286.7904167175293	5	-108.74821	32.73529	-4.3428574	-206.34714	151.0	0.0	30049	180294
333.8137352466583	6	-98.79157	28.773209	-28.025833	-199.3471	151.0	0.0	30049	210343
381.1766722202301	7	-92.06248	25.481272	-25.708817	-174.36264	151.0	0.0	30049	240392
428.7802631855011	8	-92.88956	25.77958	-33.24076	-176.08641	151.0	0.0	30049	270441
475.8847131729126	9	-86.64878	20.246824	-37.496437	-145.6498	151.0	0.0	30049	300490
523.3245451450348	10	-84.05188	25.126657	-4.4725437	-209.4924	151.0	0.0	30049	330539
570.4662449359894	11	-78.03624	26.167074	-2.7446337	-181.24945	151.0	0.0	30049	360588
617.4037199020386	12	-71.893196	25.718563	8.086397	-154.07056	151.0	0.0	30049	390637
664.2519941329956	13	-70.13909	27.182833	6.609152	-175.97356	151.0	0.0	30049	420686
711.1028454303741	14	-66.50722	27.341085	-9.182411	-196.51373	151.0	0.0	30049	450735
757.8105375766754	15	-64.793106	23.062057	2.331914	-146.66948	151.0	0.0	30049	480784
804.5177536010742	16	-55.66523	25.00148	5.0035906	-147.39603	151.0	0.0	30049	510833
851.1977548599243	17	-51.847088	24.469429	37.107384	-135.2511	151.0	0.0	30049	540882
897.7578332424164	18	-50.897583	24.42193	11.043596	-140.38016	151.0	0.0	30049	570931
944.4284160137177	19	-48.8242	26.414211	21.269175	-136.08353	151.0	0.0	30049	600980
991.0270826816559	20	-46.447456	25.872303	29.92927	-124.69185	151.0	0.0	30049	631029
1037.5051670074463	21	-42.531338	21.543388	24.58316	-96.36688	151.0	0.0	30049	661078
1083.9877526760101	22	-40.234043	19.88209	44.26696	-116.98607	151.0	0.0	30049	691127
1130.360690832138	23	-44.28387	17.582521	32.949284	-87.7916	151.0	0.0	30049	721176
1176.7908794879913	24	-40.880974	14.579817	-9.488873	-89.17305	151.0	0.0	30049	751225
1223.0601890087128	25	-32.933468	14.004515	2.9564352	-103.522064	151.0	0.0	30049	781274
1269.4909179210663	26	-30.620897	15.824013	3.9894047	-90.42427	151.0	0.0	30049	811323
1315.953893661499	27	-23.99097	17.462597	7.71113	-83.03201	151.0	0.0	30049	841372
1362.3231856822968	28	-20.60817	16.047026	17.210812	-71.63083	151.0	0.0	30049	871421
1408.7462229728699	29	-17.591015	17.999523	24.796162	-81.250916	151.0	0.0	30049	901470
1455.2060678005219	30	-12.329801	18.048695	24.042303	-66.55259	151.0	0.0	30049	931519
1501.538217306137	31	-5.806807	19.41581	44.36526	-68.11057	151.0	0.0	30049	961568
1547.868068933487	32	-2.8782175	16.815418	46.428318	-60.641846	151.0	0.0	30049	991617
1594.1672060489655	33	4.219611	15.702839	51.02015	-58.19416	151.0	0.0	30049	1021666
1640.3824093341827	34	11.922309	21.178013	48.506165	-57.901222	151.0	0.0	30049	1051715
1686.7678351402283	35	4.3422194	30.742628	55.139267	-96.26568	151.0	0.0	30049	1081764
1733.1549735069275	36	-5.0516763	31.900932	59.105232	-84.634735	151.0	0.0	30049	1111813
1779.588124513626	37	5.879877	22.099697	50.570343	-62.252655	151.0	0.0	30049	1141862
1825.8931291103363	38	18.444307	19.83141	56.448116	-87.10553	151.0	0.0	30049	1171911
1872.4048416614532	39	26.943045	16.370031	65.84662	-24.631369	151.0	0.0	30049	1201960
1918.6998889446259	40	35.142475	20.370974	75.17909	-75.472626	151.0	0.0	30049	1232009
1965.0763819217682	41	43.286407	21.863678	95.10658	-43.533054	151.0	0.0	30049	1262058
2011.4153091907501	42	49.359474	23.66352	94.21974	-66.50406	151.0	0.0	30049	1292107
2057.7854537963867	43	52.12025	20.824783	101.07902	-5.88271	151.0	0.0	30049	1322156
2104.1556453704834	44	62.097313	20.017471	103.14994	-26.4851	151.0	0.0	30049	1352205
2150.4313538074493	45	61.228985	30.422338	114.515625	-64.28139	151.0	0.0	30049	1382254
2196.8085458278656	46	55.482815	36.734577	123.435936	-55.885536	151.0	0.0	30049	1412303
2243.0970237255096	47	69.2439	22.286102	110.57033	-15.231378	151.0	0.0	30049	1442352
2289.365024328232	48	59.434174	20.762913	124.25255	-21.342752	151.0	0.0	30049	1472401
2335.5110881328583	49	70.6621	21.698208	123.50528	-22.75074	151.0	0.0	30049	1502450
2381.8056569099426	50	87.03013	22.332926	125.36511	-43.1352	151.0	0.0	30049	1532499
2427.9636487960815	51	95.19986	18.52085	132.12181	7.2209606	151.0	0.0	30049	1562548
2474.278642177582	52	95.63868	19.38748	146.05934	20.412937	151.0	0.0	30049	1592597
2520.4259300231934	53	88.91474	16.383175	135.10205	12.567194	151.0	0.0	30049	1622646
2566.704749107361	54	88.84995	18.007847	130.3999	11.704956	151.0	0.0	30049	1652695
2612.958787202835	55	98.7672	18.113487	141.6098	18.745235	151.0	0.0	30049	1682744
2659.232980966568	56	100.53467	23.148085	137.92545	-14.055026	151.0	0.0	30049	1712793
2705.5175874233246	57	102.35221	19.496265	137.19522	6.8190613	151.0	0.0	30049	1742842
2751.983134508133	58	103.84489	23.724936	148.78847	-44.523907	151.0	0.0	30049	1772891
2798.14293217659	59	102.35647	23.972895	147.4284	-17.538898	151.0	0.0	30049	1802940
2844.373602628708	60	91.74623	28.194515	147.58945	-5.346648	151.0	0.0	30049	1832989
2890.4125468730927	61	104.60333	25.436697	154.64429	-2.5797176	151.0	0.0	30049	1863038
2936.715537548065	62	110.44182	19.514198	146.55246	24.59477	151.0	0.0	30049	1893087
2982.68346619606	63	107.26933	20.101307	152.66663	6.8126793	151.0	0.0	30049	1923136
3028.754077196121	64	105.77658	23.932459	153.82684	-9.538945	151.0	0.0	30049	1953185
3074.9167177677155	65	103.10382	19.881426	159.32275	-13.512247	151.0	0.0	30049	1983234
3121.0759172439575	66	117.09801	20.771221	164.85666	14.130934	151.0	0.0	30049	2013283
3167.174052000046	67	125.72006	18.362698	159.58533	15.997447	151.0	0.0	30049	2043332
3213.302604675293	68	122.23842	22.83239	170.0643	3.7230482	151.0	0.0	30049	2073381
3259.2375235557556	69	112.92143	24.957518	164.27676	-2.807495	151.0	0.0	30049	2103430
3305.469237089157	70	117.41893	26.28102	164.07211	-13.894924	151.0	0.0	30049	2133479
3351.613284111023	71	130.61276	20.559334	174.5577	11.48951	151.0	0.0	30049	2163528
3397.8692286014557	72	124.54489	27.818186	171.89316	-5.6042047	151.0	0.0	30049	2193577
