Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
567.2586092948914	0	-208.2158	54.2681	-48.069214	-360.2644	151.0	0.0	30049	30049
1125.2827067375183	1	-116.19826	42.289425	2.344818	-258.22388	151.0	0.0	30049	60098
1681.431126832962	2	-85.69881	30.493925	-3.6408365	-184.29785	151.0	0.0	30049	90147
2236.4841713905334	3	-82.78775	28.941242	-21.368614	-191.27156	151.0	0.0	30049	120196
2789.96195602417	4	-77.42818	27.716438	-2.4179807	-160.96588	151.0	0.0	30049	150245
3347.7077991962433	5	-67.967186	28.259604	7.814942	-173.1107	151.0	0.0	30049	180294
3904.270123720169	6	-61.29221	30.541498	60.22267	-171.99284	151.0	0.0	30049	210343
4460.743283748627	7	-58.741028	25.44022	1.8756075	-157.43916	151.0	0.0	30049	240392
5017.892071962357	8	-54.03591	28.095003	6.27736	-184.52505	151.0	0.0	30049	270441
5574.165722131729	9	-53.15247	23.717884	19.155243	-132.08936	151.0	0.0	30049	300490
6130.277888774872	10	-48.16489	23.94233	11.508565	-124.29265	151.0	0.0	30049	330539
6684.697064638138	11	-39.916637	24.396894	11.611357	-116.241	151.0	0.0	30049	360588
7239.751914262772	12	-43.269287	27.61378	21.53637	-131.61902	151.0	0.0	30049	390637
7794.771493196487	13	-36.433514	27.560722	26.924128	-138.65442	151.0	0.0	30049	420686
8349.112510919571	14	-31.62248	18.601227	13.782877	-98.38703	151.0	0.0	30049	450735
8901.93802022934	15	-28.475605	16.951006	8.308201	-75.15669	151.0	0.0	30049	480784
9455.951560735703	16	-32.1536	18.691328	27.19238	-95.08292	151.0	0.0	30049	510833
10008.99234676361	17	-29.558	15.406375	13.946811	-76.954445	151.0	0.0	30049	540882
10562.170276880264	18	-28.87843	15.762594	21.973553	-83.48772	151.0	0.0	30049	570931
11112.19087600708	19	-27.172314	15.075285	20.619144	-79.05107	151.0	0.0	30049	600980
11661.565438747406	20	-25.248207	16.408276	16.155903	-78.79013	151.0	0.0	30049	631029
12209.817165613174	21	-22.889141	17.612522	24.267368	-84.39866	151.0	0.0	30049	661078
12757.735223054886	22	-20.660013	19.315128	25.09451	-124.23044	151.0	0.0	30049	691127
13303.056096076965	23	-17.456173	14.121827	20.634537	-79.94928	151.0	0.0	30049	721176
13849.429433107376	24	-17.97826	13.337624	14.42906	-74.683044	151.0	0.0	30049	751225
